geo_id,total_pop,male_pop,female_pop,median_age,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,commuters_by_public_transportation,households,median_income,income_per_capita,housing_units,median_rent,percent_income_spent_on_rent,commuters_16_over,commute_less_10_mins,commute_35_44_mins,commute_60_more_mins,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_45_59_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,employed_pop,unemployed_pop,not_in_labor_force,pop_in_labor_force,bachelors_degree_or_higher_25_64,commuters_by_bus,commuters_by_subway_or_elevated,commuters_by_carpool,group_quarters,households_public_asst_or_food_stamps,no_cars,pop_determined_poverty_status,poverty,gini_index,county,city,zip_code,internal_point_lat,internal_point_lon,area_land_meters,area_water_meters
14731,1115,534,581,53.2,1053,0,0,20,14,0,28,1095,0,524,64000,39418,2661,529,23.2,533,179,30,55,65,38,34,36,26,70,12590,24,23,32,45,12,13,18,35,35,14,42,65,45,47,20,54,556,12,407,573,174,0,0,33,19,44,11,1108,105,0.4545,Cattaraugus County,Ellicottville village,14731,42.3073513,-78.6555028,118629126,135585
13608,1544,792,752,36.9,1416,2,0,49,5,0,72,1495,2,576,47065,21959,673,498,40.6,574,72,55,63,55,65,68,58,82,56,16775,31,55,37,17,20,28,34,47,46,33,73,77,51,13,3,11,594,70,468,698,83,0,0,71,0,155,23,1521,308,0.4009,Jefferson County,"Oxbow CDP, Antwerp village",13608,44.2609397,-75.613698,102456419,1501360
14869,1302,692,610,43.7,1274,4,0,7,1,0,16,1295,4,532,53790,25954,592,514,23.3,627,98,77,57,49,18,38,104,118,68,18490,10,20,50,14,19,49,36,15,21,77,64,64,38,23,31,1,686,10,393,696,165,4,0,74,13,94,40,1302,189,0.3561,Schuyler County,Odessa village,14869,42.3623203,-76.7689651,52205358,16711
14054,1471,734,737,37.5,1205,40,0,185,11,17,13,1286,0,585,62067,30696,631,613,25,729,94,48,29,124,149,122,46,45,72,16310,14,19,12,29,64,19,14,60,20,20,87,101,37,53,13,23,771,21,336,792,159,0,0,18,0,51,38,1462,66,0.4054,Genesee,East bethany,14054,42.9195871,-78.1268024,64381776,62158
12974,1602,787,815,54.8,1507,7,0,47,4,4,33,1555,0,709,53594,30774,856,522,47.7,682,122,38,143,31,51,101,68,93,35,22765,18,75,79,22,43,15,45,7,20,59,34,146,77,39,15,15,727,65,609,792,208,0,0,56,11,160,72,1602,166,0.4359,Essex County,"Mineville CDP, Port Henry village",12974,44.0600434,-73.4648409,20822611,28234
14741,1809,925,884,46.2,1749,2,7,9,7,0,35,1800,6,727,61161,28193,1260,500,41.1,778,101,41,51,100,105,193,46,114,27,19435,21,85,15,33,21,26,27,13,38,65,95,87,128,28,33,12,826,30,588,856,209,6,0,14,9,87,14,1793,252,0.3854,Cattaraugus,Great valley,14741,42.219966,-78.611624,159318996,316721
12197,2023,961,1062,46.3,1800,25,0,122,0,0,76,1901,4,817,46964,27092,1283,656,28.3,807,97,93,82,48,23,53,63,276,72,27680,37,32,43,19,45,41,89,75,48,42,73,73,92,47,45,16,870,50,759,920,241,4,0,90,24,88,18,2005,227,0.3958,Otsego County,Worcester CDP,12197,42.609999,-74.7247492,173618475,937450
12137,1762,810,952,43.7,1618,0,80,64,0,0,0,1698,0,648,64750,31694,765,689,29.1,905,40,178,51,60,171,82,33,190,100,30720,11,36,11,36,67,47,18,31,9,32,57,162,17,34,31,49,955,61,474,1021,313,0,0,41,0,100,0,1762,176,0.4234,Schenectady County,Mariaville Lake CDP,12137,42.8603436,-74.1330851,62139434,1025250
14543,3360,1739,1621,49.2,3047,80,37,196,0,0,0,3164,0,1259,90057,37616,1284,844,22.3,1675,140,79,43,158,337,392,241,234,51,40235,7,10,7,46,33,33,41,14,39,117,128,242,236,110,115,81,1803,37,944,1840,825,0,0,114,149,68,15,3228,99,0.3108,Monroe,West rush,14543,42.9838308,-77.6785346,65183882,918476
14750,4483,1980,2503,47.9,4271,6,35,100,0,26,45,4383,0,2086,55425,39264,2524,592,26.2,2083,482,52,30,444,485,366,49,104,71,33590,34,141,130,127,98,129,140,42,111,168,162,298,139,96,96,175,2183,89,1512,2272,819,0,0,64,69,241,131,4432,319,0.4877,Chautauqua County,Lakewood village,14750,42.0797663,-79.3292444,28745351,0
12084,4959,2431,2528,33.8,3145,156,1290,353,0,0,15,4606,82,2112,75930,42755,2306,1141,24.9,2563,119,103,132,181,681,589,189,490,79,67315,109,77,6,23,86,67,23,146,13,167,323,290,259,252,79,192,2738,46,1152,2797,1634,66,16,238,149,73,125,4821,278,0.4128,Albany County,Westmere CDP,12084,42.7046689,-73.8993642,9342416,42755
12304,22833,11560,11273,39.4,12829,3788,1107,2521,152,980,1456,20312,789,8164,49464,27411,10102,767,33.5,10132,1288,480,166,1339,1797,1989,625,1904,544,216505,352,490,499,361,449,661,406,510,384,627,787,1007,779,365,369,118,10787,861,7199,11648,2687,789,0,546,799,1427,1308,22155,2730,0.4275,Schenectady County,"Rotterdam CDP, Schenectady city",12304,42.7746899,-73.8982971,17657824,83606
12053,4621,2324,2297,39.4,4284,16,50,233,0,0,38,4388,0,1312,88438,31723,1596,977,15.7,2119,68,336,78,115,80,386,180,425,451,68095,11,8,36,25,20,36,33,56,28,79,181,265,74,159,202,99,2256,273,1171,2557,598,0,0,221,7,57,3,4621,197,0.3297,Schenectady County,"Mariaville Lake CDP, Delanson village, Duane Lake CDP, Duanesburg CDP",12053,42.7574701,-74.1910953,160146985,1704859
10516,5542,2770,2772,47.2,4944,14,60,454,15,4,51,5088,651,2200,102841,57683,2502,1334,28.4,2458,234,181,970,266,131,111,128,229,208,120985,47,36,75,79,41,80,40,73,55,148,162,240,189,201,261,473,2917,124,1426,3041,1749,0,67,161,36,68,155,5542,162,0.4798,Putnam County,"Cold Spring village, Nelsonville village",10516,41.4619726,-73.8749131,81626593,1587411
14470,7548,3729,3819,46.6,7005,127,50,187,32,0,147,7361,17,3208,53824,30003,3435,594,28.1,3683,448,479,196,441,537,375,244,490,473,98295,179,137,127,135,172,169,242,257,97,249,454,346,188,248,131,77,3855,210,2221,4065,795,17,0,335,0,413,219,7511,860,0.4453,Orleans County,Holley village,14470,43.2052117,-78.0576845,166073932,102380
