,NAME,x,y
259,Kossuth,-94.20671993055609,43.20413002981307
260,Yabucoa,-65.86330231942091,18.05596628807378
261,Burke,-102.51819349228792,48.7910039093038
262,Durham,-78.87659269485849,36.036029924345726
263,Harrison,-95.81692088755041,41.682852745453374
264,Keya Paha,-99.71234971177198,42.87882906436264
265,Webster,-94.1817743674805,42.42794916807303
266,Pope,-88.56162011456615,37.41275619729817
267,Smith,-85.9567145693397,36.250534095645634
268,Henry,-79.87395250298047,36.682772679555065
269,Alexandria,-77.08620605839408,38.818453585430376
270,Jefferson,-91.94887287822372,41.03176206776785
271,Lewis and Clark,-112.39045501141895,47.12244290809376
272,Duchesne,-110.4251844604442,40.2982423212539
273,Alfalfa,-98.32397817971744,36.730988911041756
274,Delta,-95.67227081680537,33.386292739310534
275,Trousdale,-86.15675276040889,36.392042856552784
276,Perry,-83.22148160281532,37.244293323290336
277,Deuel,-96.66797414035379,44.76005795180375
278,Jackson,-122.72851787688579,42.43215588913039
279,Hormigueros,-67.11402229560055,18.134180726830138
280,Zavala,-99.76059567168329,28.866211422108226
281,Banner,-103.71047676813248,41.545974670108535
282,Madison,-94.01556194590664,41.330714221673745
283,Broward,-80.45588425372371,26.151856037767672
284,Toombs,-82.33129290988467,32.121720331422644
285,Sanilac,-82.6457538571445,43.443311608456256
286,Rockwall,-96.40778104395594,32.89775806958658
287,Wayne,-83.26113286864464,42.28474547613156
288,Nobles,-95.75338636566849,43.674239782103385
289,Aitkin,-93.41542908825086,46.608257290553205
290,Ramsey,-98.72010504681795,48.26894302349498
291,Person,-78.9718051426324,36.39009512441692
292,Trego,-99.8727358362388,38.91432491437285
293,Washington,-90.9474546435454,33.283698101811446
294,Eastland,-98.83232225036909,32.32707307071535
295,Issaquena,-90.9892124113754,32.74139055663008
296,DeWitt,-97.35677844502642,29.0820812941964
297,Angelina,-94.61184854624119,31.25476458328896
298,Saluda,-81.72692825840427,34.006105538476874
299,Maries,-91.92488596655458,38.16163489123737
300,Arkansas,-91.37490475060987,34.29080805225207
301,Lawrence,-93.83293656234468,37.10635120800906
302,Charlottesville,-78.48549988476253,38.03749147858337
303,Bureau,-89.52865575767376,41.40414592639437
304,Scioto,-82.99283102498597,38.80396194195804
305,Madison,-82.7057582626561,35.85803580860721
306,Jerome,-114.2639413638685,42.68990474491158
307,Vinton,-82.4853500566897,39.2509849785705
308,McLennan,-97.20178649993444,31.55238015218015
